date,value
2018-02-28,1317.85
2018-02-27,1325.75
2018-02-26,1333.5
2018-02-23,1327.95
2018-02-22,1328.35
2018-02-21,1330.5
2018-02-20,1339.85
2018-02-19,1346.6
2018-02-16,1352.1
2018-02-15,1352.45
2018-02-14,1336.25
2018-02-13,1325.35
2018-02-12,1322.3
2018-02-09,1314.1
2018-02-08,1315.45
2018-02-07,1324.65
2018-02-06,1331.4
2018-02-05,1333.6
2018-02-02,1331.15
2018-02-01,1341.35
2018-01-31,1345.05
2018-01-30,1344.9
2018-01-29,1343.85
2018-01-26,1353.15
2018-01-25,1354.95
2018-01-24,1353.7
2018-01-23,1333.4
2018-01-22,1332.6
2018-01-19,1334.95
2018-01-18,1332.2
2018-01-17,1335.65
2018-01-16,1333.85
2018-01-15,1339.25
2018-01-12,1326.8
2018-01-11,1323.05
2018-01-10,1319.75
2018-01-09,1311.0
2018-01-08,1319.95
2018-01-05,1317.15
2018-01-04,1314.5
2018-01-03,1314.9
2018-01-02,1312.05
2018-01-01,1291.0
2017-12-29,1291.0
2017-12-28,1291.0
2017-12-27,1279.4
2017-12-26,1264.55
2017-12-25,1264.55
2017-12-22,1264.55
2017-12-21,1264.55
2017-12-20,1264.55
2017-12-19,1260.35
2017-12-18,1260.6
2017-12-15,1254.6
2017-12-14,1251.0
2017-12-13,1242.65
2017-12-12,1240.9
2017-12-11,1247.15
2017-12-08,1250.65
2017-12-07,1255.0
2017-12-06,1263.7
2017-12-05,1266.3
2017-12-04,1273.45
2017-12-01,1275.5
2017-11-30,1280.2
2017-11-29,1283.85
2017-11-28,1291.85
2017-11-27,1294.9
2017-11-24,1290.5
2017-11-23,1290.35
2017-11-22,1286.95
2017-11-21,1283.3
2017-11-20,1286.2
2017-11-17,1284.35
2017-11-16,1280.0
2017-11-15,1282.2
2017-11-14,1274.6
2017-11-13,1277.95
2017-11-10,1284.3
2017-11-09,1284.8
2017-11-08,1284.0
2017-11-07,1275.6
2017-11-06,1270.9
2017-11-03,1267.2
2017-11-02,1279.2
2017-11-01,1277.05
2017-10-31,1270.15
2017-10-30,1272.0
2017-10-27,1266.45
2017-10-26,1273.75
2017-10-25,1275.0
2017-10-24,1276.45
2017-10-23,1274.9
2017-10-20,1281.2
2017-10-19,1286.4
2017-10-18,1280.2
2017-10-17,1284.75
2017-10-16,1303.3
2017-10-13,1299.6
2017-10-12,1290.25
2017-10-11,1289.25
2017-10-10,1291.4
2017-10-09,1278.75
2017-10-06,1261.8
2017-10-05,1274.5
2017-10-04,1274.25
2017-10-03,1271.25
2017-10-02,1273.7
2017-09-29,1283.1
2017-09-28,1283.35
2017-09-27,1282.55
2017-09-26,1300.05
2017-09-25,1293.3
2017-09-22,1294.8
2017-09-21,1292.1
2017-09-20,1311.3
2017-09-19,1309.6
2017-09-18,1312.1
2017-09-15,1322.85
2017-09-14,1324.55
2017-09-13,1327.55
2017-09-12,1326.5
2017-09-11,1334.2
2017-09-08,1346.25
2017-09-07,1343.5
2017-09-06,1337.85
2017-09-05,1335.55
2017-09-04,1333.1
2017-09-01,1320.4
2017-08-31,1311.75
2017-08-30,1308.5
2017-08-29,1318.65
2017-08-28,1285.3
2017-08-25,1285.3
2017-08-24,1289.0
2017-08-23,1286.65
2017-08-22,1284.2
2017-08-21,1292.9
2017-08-18,1295.8
2017-08-17,1285.15
2017-08-16,1272.75
2017-08-15,1270.3
2017-08-14,1282.3
2017-08-11,1286.1
2017-08-10,1284.4
2017-08-09,1271.05
2017-08-08,1261.8
2017-08-07,1258.0
2017-08-04,1257.7
2017-08-03,1268.1
2017-08-02,1269.6
2017-08-01,1270.95
