statistics,date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,bitcoin_close_change,volume_btc,volume_currency,gold_value,gold_change,total_crimes,computer_related,financial_crimes,num_arrests,num_domestic,avg_latitude,avg_longitude
max,2019-01-21,0.2032005142988989,132408,32143,45178,48134,-0.3372254212170503,0.5545444224751334,69766,24900,19346.6,19870.62,18873.37,19345.49,23.685616765148467,7.94000004781863e+16,8.5356e+17,1354.95,2.5947249669338035,988,5,67,231,212,41.858732784482605,-87.66293780909437
min,2017-08-01,-0.013692694070891014,81,3,9,11,-0.5298894613389072,0.3752111111111112,72,58,2703.51,2760.0,2615.0,2703.51,-17.23513385436305,208.56,845839.7,1178.4,-1.882789710951993,394,0,2,52,70,41.83353805139429,-87.67646786042586
sd,,0.0305515001226478,16176.984709804643,3378.673303335677,5273.485816271153,6548.242713732437,0.02258844238584157,0.02694270719713916,10525.452933865363,1914.6118671965294,3133.486318317424,3302.2446759540094,2903.6502780189244,3138.789201902519,4.737870380030536,7535124216298086.0,2.0083163618507994e+17,46.05396347580523,0.47543438778818115,86.10024455366005,0.7743758194838589,9.350496164599196,21.910120867254673,21.394766782687636,0.0038578203977610638,0.0023705897063237115
mean,,0.10149042216990398,32908.187384044526,5301.315398886827,10332.187384044528,12139.669758812615,-0.4089697839581607,0.4725995575866047,21373.95918367347,5135.014842300557,7309.138923933209,7550.784712430426,7024.730630797773,7311.970667903526,0.1617838082458637,1409821100939308.8,2.677505028012923e+17,1274.0628942486085,0.002380056234309309,731.8831168831168,0.5157699443413729,17.82931354359926,143.7792207792208,118.00371057513915,41.84489599958187,-87.66995363576534
median,,0.10080940073576168,28725.0,4376.0,8965.0,10623.0,-0.4100409026762837,0.4751485638741778,19002.0,4855.0,6620.63,6756.36,6501.01,6633.14,0.16349142505038827,423726893.63,2.99905e+17,1281.2,0.0,733.0,0.0,17.0,143.0,115.0,41.84497117452907,-87.6699504212318
iqr,,0.036971924946042095,14187.0,2917.5,4351.5,5834.0,0.027339867504236004,0.03181973883121436,10459.0,2500.0,3604.5,3518.8499999999995,3404.535,3587.3999999999996,4.450693409703069,1500246439.1750002,3.618985e+17,81.0,0.3602745880560948,108.0,1.0,9.0,27.0,26.5,0.0053628859930228145,0.003349372575627285
