date,total_crimes,computer_related,financial_crimes,num_arrests,num_domestic,avg_latitude,avg_longitude
2017-08-01,947,0,63,135,160,41.833678533756384,-87.6661266032291
2017-08-02,773,2,18,157,130,41.844181575020926,-87.67089544815605
2017-08-03,848,0,27,153,133,41.842883350357255,-87.66727522678256
2017-08-04,924,1,29,164,117,41.8479765572022,-87.6665542163027
2017-08-05,927,0,19,154,135,41.85398559054643,-87.66439680004925
2017-08-06,865,0,7,169,169,41.84694390108505,-87.66722092364581
2017-08-07,773,0,22,170,128,41.8421997029571,-87.66703953362024
2017-08-08,765,0,20,156,104,41.84173143017199,-87.6683254921719
2017-08-09,769,1,22,147,140,41.83896539575984,-87.67032215140286
2017-08-10,789,0,22,161,129,41.84988797517435,-87.67188403392755
2017-08-11,765,0,15,163,117,41.846485097569534,-87.6710583840788
2017-08-12,812,0,14,147,116,41.845886982668716,-87.66719744533006
2017-08-13,730,1,11,139,141,41.84135127131272,-87.66765153175609
2017-08-14,811,0,17,139,111,41.847172454351494,-87.67221384318199
2017-08-15,795,0,22,117,103,41.84759023344953,-87.66950713650576
2017-08-16,795,0,30,127,126,41.84718926215289,-87.67062009182034
2017-08-17,767,2,19,126,108,41.84566487388574,-87.67014220151522
2017-08-18,856,0,12,165,125,41.84505640082196,-87.66852154383263
2017-08-19,891,0,16,172,143,41.84307260389946,-87.67038039245762
2017-08-20,774,0,5,135,139,41.84644038153315,-87.67068342695063
2017-08-21,753,1,15,137,121,41.84738513468371,-87.67146497188743
2017-08-22,779,1,15,138,125,41.84393978309705,-87.66982951814234
2017-08-23,747,0,18,153,121,41.845279500341455,-87.66941024277183
2017-08-24,799,0,22,161,101,41.84810257130995,-87.66841184092972
2017-08-25,770,1,25,163,109,41.84983895509345,-87.67204706258568
2017-08-26,780,2,13,153,148,41.84846735087658,-87.67239803303606
2017-08-27,754,1,7,139,147,41.85124638931424,-87.6719700372025
2017-08-28,686,0,16,142,109,41.84848194474853,-87.67021571456915
2017-08-29,724,0,16,148,102,41.8428657203783,-87.67330852879273
2017-08-30,785,1,16,158,106,41.84469696452642,-87.6728287626861
2017-08-31,733,1,16,172,98,41.84886143796245,-87.67363837815859
2017-09-01,906,1,65,173,122,41.84874649137386,-87.67534774437975
2017-09-02,769,0,9,172,127,41.84234131604603,-87.67366448812378
2017-09-03,757,0,10,193,126,41.83833723649798,-87.66988699119707
2017-09-04,715,0,5,177,158,41.836351058740476,-87.67136139555849
2017-09-05,703,0,25,153,104,41.8432392886009,-87.66904560188763
2017-09-06,648,1,19,127,96,41.843904303864655,-87.66820972317892
2017-09-07,727,1,16,142,102,41.84303575249517,-87.67016766257973
2017-09-08,702,0,21,136,115,41.84081224870446,-87.66786199652078
2017-09-09,733,0,19,150,127,41.846358622565376,-87.6691003323246
2017-09-10,739,0,11,141,136,41.8495355766776,-87.67284084322588
2017-09-11,690,0,25,116,94,41.84387087741351,-87.66465187754109
2017-09-12,724,1,20,139,114,41.84575370664436,-87.67036843432919
2017-09-13,705,2,19,134,93,41.84698854444411,-87.67074649292407
2017-09-14,734,0,30,126,106,41.84960946576375,-87.66804886842986
2017-09-15,808,0,20,131,112,41.84438381625157,-87.66655416413583
2017-09-16,826,0,10,164,121,41.845984051132774,-87.66797757369056
2017-09-17,812,0,8,127,158,41.84863758248383,-87.6730914803401
2017-09-18,771,0,33,127,111,41.84907221719296,-87.67055033999212
2017-09-19,708,1,19,141,119,41.84669477290426,-87.66993373866708
2017-09-20,826,0,30,165,133,41.842173508081736,-87.66910182793295
2017-09-21,803,1,21,137,126,41.85017617982518,-87.67526660911577
2017-09-22,797,0,13,150,112,41.84529737195208,-87.66908209701893
2017-09-23,829,2,10,151,139,41.846973319189175,-87.6685359049685
2017-09-24,808,0,10,135,161,41.848212817571245,-87.66970479550623
2017-09-25,820,0,37,144,112,41.842942050813,-87.66896677412916
2017-09-26,747,2,16,137,115,41.83815135976415,-87.66609782454447
2017-09-27,724,1,26,135,109,41.84068629874477,-87.66615128612841
2017-09-28,714,0,18,131,126,41.84347387538565,-87.66667405849014
2017-09-29,808,1,23,149,111,41.84961289245057,-87.67265248293491
2017-09-30,744,0,16,137,112,41.85304822602463,-87.67356658949869
2017-10-01,846,0,59,153,151,41.84894509415432,-87.6721337103483
2017-10-02,751,1,21,135,117,41.850899346638315,-87.6735666185034
2017-10-03,739,1,15,148,92,41.85205571268262,-87.67296448682087
2017-10-04,743,1,22,135,109,41.84717755803712,-87.67066661515658
2017-10-05,747,0,17,151,110,41.85012464711939,-87.67190442949526
