date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,bitcoin_close_change,volume_btc,volume_currency,gold_value,gold_change,total_crimes,computer_related,financial_crimes,num_arrests,num_domestic,avg_latitude,avg_longitude
2017-08-24,0.09857543645344638,25616,3145,7776,10518,-0.3825657892739775,0.4253469065524234,18062,4177,4121.78,4350.0,4082.57,4300.34,4.679025929135472,10782.709999999995,45174068.68000001,1289.0,0.18264485291259452,799,0,22,161,101,41.84810257130995,-87.66841184092972
2017-08-25,0.09350493619463654,23627,3088,7322,9176,-0.3861386029105218,0.4191738589153144,16270,4041,4308.8,4449.98,4270.0,4355.98,1.2938511838598732,9699.63,42274063.37,1285.3,-0.2870442203258383,770,1,25,163,109,41.84983895509345,-87.67204706258568
2017-08-26,0.10743233529548836,12457,1550,3954,4442,-0.4043937852336124,0.4307067238383596,8258,2511,4332.55,4349.99,4232.43,4333.38,-0.5188269918594557,4409.77,18956691.85,1285.3,0.0,780,2,13,153,148,41.84846735087658,-87.67239803303606
2017-08-27,0.09218217298796856,17896,2010,4657,6346,-0.3886198434895725,0.4254571694092282,12211,4883,4333.38,4393.3,4290.32,4337.68,0.09922970060323166,3979.11,17263967.21,1285.3,0.0,754,1,7,139,147,41.85124638931424,-87.6719700372025
2017-08-28,0.0809431338380223,20905,2710,5878,8675,-0.3801431632289973,0.4120484729112832,14815,3642,4329.91,4399.72,4169.01,4379.99,0.9754062079267988,8640.999999999998,37077203.39,1285.3,0.0,686,0,16,142,109,41.84848194474853,-87.67021571456915
2017-08-29,0.08279630779723507,24797,3693,6647,10544,-0.33973432067758513,0.44237281926812977,16845,3913,4385.0,4649.78,4336.26,4578.82,4.539508081068666,11879.64,53491168.43000002,1318.65,2.5947249669338035,724,0,16,148,102,41.8428657203783,-87.67330852879275
2017-08-30,0.07625473649854521,23922,3338,6376,9973,-0.3585931039457373,0.42415873860921655,16149,4235,4578.82,4642.22,4479.0,4573.2,-0.1227390463044986,8720.040000000003,39800539.15000001,1308.5,-0.7697266143404269,785,1,16,158,106,41.84469696452642,-87.6728287626861
2017-08-31,0.0911189051637276,24260,3462,7324,9977,-0.3642599833898948,0.43089177268354995,16101,3497,4573.15,4765.21,4566.66,4734.26,3.5218227936674618,8911.430000000002,41726210.49,1311.75,0.2483760030569382,733,1,16,172,98,41.84886143796245,-87.67363837815859
2017-09-01,0.09909067055929392,26305,3307,7878,11277,-0.3819730820836421,0.4404092123211081,17843,3843,4734.26,4935.0,4671.09,4921.7,3.9592248841423983,15367.54,73889667.51000002,1320.4,0.6594244330093479,906,1,65,173,122,41.84874649137386,-87.67534774437975
2017-09-02,0.1006179035891833,21463,2448,6082,9404,-0.3512315445330492,0.4404239344545528,14178,3529,4921.71,4979.9,4488.5,4599.9,-6.538391206290518,16977.81,79492706.8,1320.4,0.0,769,0,9,172,127,41.84234131604603,-87.67366448812378
2017-09-03,0.10182719419441012,19058,2425,5690,7486,-0.3916410955445264,0.4462188191514711,13085,3457,4599.9,4700.0,4385.0,4606.26,0.1382638753016474,11224.910000000002,51112035.00000001,1320.4,0.0,757,0,10,193,126,41.83833723649798,-87.66988699119707
2017-09-04,0.03846105767045757,26231,4633,6990,10918,-0.4411944285405373,0.4253198892013903,18409,3690,4603.68,4613.97,4058.5,4277.0,-7.148098457316787,25069.129999999994,107792606.92,1333.1,0.9618297485610272,715,0,5,177,158,41.836351058740476,-87.67136139555849
2017-09-05,0.0523262169895372,27648,4765,7417,11856,-0.43649417498554177,0.4504321619177207,20009,3610,4282.53,4474.88,4001.93,4396.52,2.7944821136310694,20884.22,88444473.14000002,1335.55,0.18378216187833202,703,0,25,153,104,41.8432392886009,-87.66904560188763
2017-09-06,0.07078108701938468,27563,3633,6849,11580,-0.4128288956856721,0.4490701575385521,19864,5501,4397.38,4649.23,4356.42,4605.8,4.760128465240676,16634.100000000002,75306805.39,1337.85,0.1722136947325037,648,1,19,127,96,41.843904303864655,-87.66820972317892
