date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,volume_btc,volume_currency,bitcoin_change
2017-08-11,0.08567116916418585,23841,2908,6071,10125,-0.3510969209749229,0.4436983450240344,17031,4737,3410.0,3705.0,3390.67,3645.06,11927.36,41888022.269999996,6.798358057210163
2017-08-12,0.0919671807416644,18494,2059,5095,8341,-0.3785796006788094,0.4348957890641987,11744,2999,3651.74,3934.0,3586.95,3855.1,12351.070000000002,46799798.410000004,5.762319413123507
2017-08-13,0.08202608695652172,81,3,9,11,-0.4967666666666666,0.3752111111111112,72,58,4090.0,4094.5,4037.7,4053.87,208.56,845839.7,5.156027081009573
2017-08-14,0.08952489079671067,28725,3289,8880,13060,-0.37304898611146253,0.3967174747932327,19479,3496,4053.87,4329.43,3964.96,4306.23,14212.31,59836002.79999999,6.22516262238304
2017-08-15,0.08390913305896863,18411,1850,4901,9401,-0.3716646063310971,0.4160621960862108,12896,2259,4221.29,4251.74,3800.0,4155.67,18968.339999999997,76373854.72999999,-3.4963297362193724
2017-08-16,0.08560052619818494,25479,3091,7168,11430,-0.3888728341120892,0.4316033936247625,17825,3790,4154.99,4379.78,3926.06,4378.84,12923.63,54194325.769999996,5.37025317217199
2017-08-17,0.08716441066463441,28404,3374,8731,12283,-0.39396697668808245,0.409949524567907,20522,4016,4361.99,4480.0,4167.21,4276.5,14573.16,63228604.19,-2.3371486512409723
2017-08-18,0.07508449944685243,27488,3380,6806,11314,-0.38271782164765655,0.4248931055586686,18204,5988,4260.47,4368.0,3964.96,4100.0,17517.0,73224029.25,-4.127206828013563
2017-08-19,0.08951825374181997,19821,2231,4837,6836,-0.358704397324591,0.4234494679933387,11446,5917,4100.0,4188.0,3900.0,4099.55,15036.189999999997,60604905.59000001,-0.01097560975609202
2017-08-20,0.10145873680711875,18632,1927,5011,6809,-0.3933454721663818,0.4277516400134573,11521,4885,4091.99,4125.95,4000.0,4058.68,6237.98,25289638.599999994,-0.9969386883926346
2017-08-21,0.09491907616921323,21145,2666,5687,8472,-0.3372254212170503,0.43945501088287453,14320,4320,4058.64,4080.0,3949.78,3987.52,9782.06,39203908.94999999,-1.7532793913291989
